image,threads,mean_exec_time
64,1,0.00015436363636363635
64,2,0.00023688888888888886
64,3,0.0002517070707070708
64,4,0.00028140404040404043
64,5,0.0003745858585858587
64,6,0.0004437171717171717
64,7,0.0005150505050505051
64,8,0.0005838080808080808
64,9,0.0006442222222222222
64,10,0.0007074848484848485
64,11,0.0007897676767676769
64,12,0.0008822525252525251
64,13,0.0008901010101010101
64,14,0.0009523838383838385
64,15,0.0010137272727272727
64,16,0.0012525050505050506
256,1,0.002645474747474747
256,2,0.0015057474747474748
256,3,0.0011132828282828281
256,4,0.0010750707070707071
256,5,0.0010999595959595959
256,6,0.0010704646464646465
256,7,0.001065030303030303
256,8,0.0011375656565656565
256,9,0.0011494040404040405
256,10,0.0012351414141414142
256,11,0.0014410909090909092
256,12,0.0014679696969696965
256,13,0.0016643737373737376
256,14,0.0016473131313131315
256,15,0.001746838383838384
256,16,0.0018692323232323228
512,1,0.010649656565656565
512,2,0.00545429292929293
512,3,0.0040459898989899
512,4,0.003327545454545455
512,5,0.0028387878787878794
512,6,0.002705242424242424
512,7,0.002718484848484849
512,8,0.0027439797979797974
512,9,0.0029427777777777772
512,10,0.002889353535353535
512,11,0.0030196868686868696
512,12,0.0029755959595959593
512,13,0.003016969696969697
512,14,0.0031351616161616165
512,15,0.00322210101010101
512,16,0.0035224141414141414
1024,1,0.045278838383838386
1024,2,0.021753626262626266
1024,3,0.015107565656565656
1024,4,0.013656010101010101
1024,5,0.01238651515151515
1024,6,0.011782050505050505
1024,7,0.010714
1024,8,0.010138878787878789
1024,9,0.009991747474747474
1024,10,0.00977710101010101
1024,11,0.010191575757575759
1024,12,0.01019810101010101
1024,13,0.010499141414141416
1024,14,0.010486565656565658
1024,15,0.010594111111111111
1024,16,0.0106640101010101
2048,1,0.18217875757575758
2048,2,0.08403656565656564
2048,3,0.057540757575757585
2048,4,0.04783710101010101
2048,5,0.04264077777777778
2048,6,0.04025276767676768
2048,7,0.03871987878787879
2048,8,0.036917010101010096
2048,9,0.03843532323232324
2048,10,0.03691094949494949
2048,11,0.034606929292929293
2048,12,0.03397750505050505
2048,13,0.03431562626262626
2048,14,0.034586828282828296
2048,15,0.03469258585858586
2048,16,0.034768010101010105
4096,1,0.7203049393939394
4096,2,0.3342064141414141
4096,3,0.2238520606060606
4096,4,0.1716021515151515
4096,5,0.14223865656565657
4096,6,0.12676374747474747
4096,7,0.11364815151515151
4096,8,0.11084638383838383
4096,9,0.12328742424242423
4096,10,0.11381722222222224
4096,11,0.10992800000000001
4096,12,0.10658944444444447
4096,13,0.10861318181818183
4096,14,0.10847615151515151
4096,15,0.10660543434343434
4096,16,0.10757984848484846
