image,threads,mean_exec_time,ci_low,ci_high
64,1,0.00017254545454545455,0.0001656360906114586,0.0001794548184794505
64,2,0.0001878383838383838,0.00018138506935655522,0.0001942916983202124
64,3,0.0002293737373737374,0.0002192218410218,0.0002395256337256748
64,4,0.0002945151515151515,0.0002814721891149422,0.00030755811391536085
64,5,0.0003859191919191919,0.00037253767113596786,0.0003993007127024159
64,6,0.00048395959595959597,0.0004665325803941292,0.0005013866115250627
64,7,0.0005508383838383838,0.0005330274058304442,0.0005686493618463235
64,8,0.0006203333333333333,0.0005990086877837751,0.0006416579788828915
64,9,0.0006801414141414142,0.0006580968959438323,0.0007021859323389961
64,10,0.0007656363636363635,0.0007371192538335332,0.0007941534734391938
64,11,0.0008415353535353534,0.0008061652636833443,0.0008769054433873624
64,12,0.0009023131313131313,0.0008598159130929429,0.0009448103495333197
64,13,0.0009284545454545455,0.0008975822001395354,0.0009593268907695555
64,14,0.0010025050505050503,0.0009669635198574326,0.001038046581152668
64,15,0.0010562424242424244,0.0010240307942505763,0.0010884540542342724
64,16,0.0011342121212121212,0.0010919655452025319,0.0011764586972217105
256,1,0.0008921111111111112,0.0008836555039502795,0.0009005667182719429
256,2,0.0006073737373737374,0.0005845088140900037,0.0006302386606574711
256,3,0.0005401717171717172,0.0005237561295057826,0.0005565873048376517
256,4,0.0006087171717171717,0.0005260473049384606,0.0006913870384958827
256,5,0.0006474949494949495,0.0006280084345737904,0.0006669814644161087
256,6,0.0007144949494949494,0.0006910379321649606,0.0007379519668249383
256,7,0.0008474040404040403,0.0008176304041204508,0.0008771776766876298
256,8,0.0009805858585858586,0.0009593684124437832,0.0010018033047279342
256,9,0.0011288484848484847,0.0010883561777981251,0.0011693407918988443
256,10,0.001202010101010101,0.0011752129830201867,0.0012288072190000153
256,11,0.0012894141414141413,0.001262919526072882,0.0013159087567554005
256,12,0.0013779595959595957,0.001349111231811414,0.0014068079601077773
256,13,0.0014883030303030301,0.0014582099152945609,0.0015183961453114994
256,14,0.0015609696969696974,0.0015270787111031302,0.0015948606828362646
256,15,0.0016723535353535353,0.0016337691857918222,0.0017109378849152483
256,16,0.0017391919191919192,0.0016983810440804974,0.001780002794303341
512,1,0.0035585555555555557,0.0034267886949841913,0.00369032241612692
512,2,0.002104222222222222,0.0020086202137514653,0.002199824230692979
512,3,0.0016686868686868685,0.00159560166331514,0.0017417720740585969
512,4,0.0015848181818181816,0.0014793160956957578,0.0016903202679406054
512,5,0.0014839191919191921,0.0014401570060999863,0.001527681377738398
512,6,0.0014607676767676768,0.0014199969277714126,0.001501538425763941
512,7,0.0018816767676767677,0.0013953447611274982,0.002368008774226037
512,8,0.0016675151515151518,0.0014475649611520106,0.001887465341878293
512,9,0.0017679494949494954,0.0017126355512542867,0.0018232634386447042
512,10,0.001987707070707071,0.0019144410031834299,0.002060973138230712
512,11,0.002171010101010101,0.0020845755785037787,0.0022574446235164233
512,12,0.0023381212121212124,0.0022206447995937245,0.0024555976246487003
512,13,0.002486030303030303,0.00241101514271877,0.002561045463341836
512,14,0.002683060606060606,0.002589392743431632,0.0027767284686895798
512,15,0.0030826161616161613,0.0024610346162462146,0.003704197706986108
512,16,0.0029678181818181813,0.0028912242725083635,0.003044412091127999
1024,1,0.01398052525252525,0.013460268689371143,0.014500781815679356
1024,2,0.008075737373737374,0.007669226063655665,0.008482248683819082
1024,3,0.007056121212121212,0.006583440477353528,0.007528801946888897
1024,4,0.005588050505050505,0.005288864331698131,0.005887236678402879
1024,5,0.005173919191919192,0.005033610138535321,0.005314228245303063
1024,6,0.004737636363636364,0.0045595904368073885,0.0049156822904653395
1024,7,0.004357343434343434,0.004219433193282851,0.004495253675404017
1024,8,0.004107343434343434,0.003914421222017753,0.004300265646669115
1024,9,0.004727474747474748,0.004474863519160403,0.004980085975789092
1024,10,0.004967191919191919,0.004779313087723671,0.005155070750660167
1024,11,0.005379464646464645,0.004997491304504631,0.005761437988424659
1024,12,0.005328858585858585,0.005117405782237845,0.0055403113894793255
1024,13,0.005292454545454546,0.005166137188231271,0.0054187719026778216
1024,14,0.0053472424242424245,0.0050964795461923736,0.005598005302292475
1024,15,0.005831636363636364,0.005333931187684391,0.006329341539588338
1024,16,0.005532707070707072,0.005285835972561215,0.005779578168852929
2048,1,0.050822040404040404,0.05025365093704938,0.05139042987103143
2048,2,0.028716535353535355,0.0277314771733942,0.02970159353367651
2048,3,0.021751252525252524,0.0207825360325036,0.022719969018001447
2048,4,0.0199129595959596,0.0191033148355354,0.020722604356383796
2048,5,0.017084404040404042,0.01646251025666325,0.017706297824144835
2048,6,0.01578936363636364,0.015398376743499094,0.016180350529228185
2048,7,0.01417009090909091,0.013827645553358192,0.014512536264823628
2048,8,0.012858323232323235,0.012576350203460113,0.013140296261186356
2048,9,0.01357928282828283,0.013144651717593419,0.01401391393897224
2048,10,0.014267565656565655,0.01375809942574469,0.01477703188738662
2048,11,0.015036202020202019,0.014573022497735627,0.015499381542668412
2048,12,0.015180232323232323,0.01462808504309243,0.015732379603372214
2048,13,0.014815919191919191,0.014420392506066677,0.015211445877771705
2048,14,0.014946393939393938,0.014647856214967574,0.015244931663820302
2048,15,0.015062848484848484,0.01461553906352487,0.0155101579061721
2048,16,0.014712727272727273,0.014384319279190441,0.015041135266264105
4096,1,0.1944930101010101,0.193341224272143,0.1956447959298772
4096,2,0.1034290909090909,0.10239223550252931,0.1044659463156525
4096,3,0.07428578787878788,0.07241651378263009,0.07615506197494568
4096,4,0.0623611818181818,0.060295546656326124,0.06442681698003748
4096,5,0.055262626262626256,0.053177200485612204,0.05734805203964031
4096,6,0.05298527272727274,0.051278617090331324,0.05469192836421416
4096,7,0.04866883838383838,0.04727561110885746,0.050062065658819294
4096,8,0.04437869696969697,0.04340451785680675,0.045352876082587194
4096,9,0.0444089696969697,0.043497462772643575,0.04532047662129582
4096,10,0.04377173737373737,0.042787909416211065,0.04475556533126368
4096,11,0.04195892929292929,0.04111174679938446,0.04280611178647412
4096,12,0.04196973737373736,0.040953509383330824,0.0429859653641439
4096,13,0.04152428282828283,0.04058809874412509,0.04246046691244056
4096,14,0.041011858585858596,0.03989086673137919,0.042132850440338
4096,15,0.04048225252525253,0.039490098855378006,0.04147440619512706
4096,16,0.040746171717171716,0.03983902359103155,0.04165331984331188
