           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
--------------- ------  ------------------------------  ---------  ---------  ---------
   12684.406012 [0000]  perf[18448]                         0.000      0.000      0.000 
   12684.406024 [0000]  migration/0[16]                     0.000      0.003      0.011 
   12684.406058 [0001]  perf[18448]                         0.000      0.000      0.000 
   12684.406066 [0001]  migration/1[22]                     0.000      0.002      0.008 
   12684.406143 [0002]  perf[18448]                         0.000      0.000      0.000 
   12684.406164 [0002]  migration/2[28]                     0.000      0.005      0.020 
   12684.406229 [0003]  perf[18448]                         0.000      0.000      0.000 
   12684.406243 [0003]  migration/3[34]                     0.000      0.004      0.014 
   12684.406282 [0004]  perf[18448]                         0.000      0.000      0.000 
   12684.406290 [0004]  migration/4[40]                     0.000      0.002      0.008 
   12684.406317 [0005]  perf[18448]                         0.000      0.000      0.000 
   12684.406322 [0005]  migration/5[46]                     0.000      0.001      0.005 
   12684.406398 [0006]  perf[18448]                         0.000      0.000      0.000 
   12684.406419 [0006]  migration/6[52]                     0.000      0.005      0.020 
   12684.406544 [0003]  <idle>                              0.000      0.000      0.300 
   12684.406545 [0000]  <idle>                              0.000      0.000      0.520 
   12684.406563 [0003]  kworker/u32:13-[17311]              0.000      0.006      0.018 
   12684.406571 [0001]  <idle>                              0.000      0.000      0.505 
   12684.406579 [0005]  <idle>                              0.000      0.000      0.256 
   12684.406587 [0002]  <idle>                              0.000      0.000      0.423 
   12684.406605 [0000]  Xorg[1087]                          0.000      0.005      0.060 
   12684.406697 [0000]  <idle>                              0.060      0.000      0.091 
   12684.406713 [0002]  budgie-wm[1560]                     0.000      0.006      0.126 
   12684.406724 [0000]  Xorg[1087]                          0.091      0.006      0.026 
   12684.406729 [0006]  <idle>                              0.000      0.000      0.309 
   12684.406796 [0007]  perf[18448]                         0.000      0.000      0.000 
   12684.406812 [0006]  tilix[2046]                         0.000      0.014      0.083 
   12684.406820 [0001]  code[17719/17638]                   0.000      0.006      0.249 
   12684.406822 [0006]  <idle>                              0.083      0.000      0.009 
   12684.406834 [0006]  code[17718/17638]                   0.000      0.006      0.011 
   12684.407765 [0002]  <idle>                              0.126      0.000      1.051 
   12684.407794 [0000]  <idle>                              0.026      0.000      1.070 
   12684.407795 [0002]  budgie-wm[1560]                     1.051      0.006      0.030 
   12684.407810 [0002]  <idle>                              0.030      0.000      0.014 
   12684.407812 [0000]  Xorg[1087]                          1.070      0.005      0.017 
   12684.408066 [0000]  <idle>                              0.017      0.000      0.254 
   12684.408072 [0002]  budgie-wm[1560]                     0.014      0.004      0.262 
   12684.408079 [0000]  Xorg[1087]                          0.254      0.005      0.012 
   12684.408079 [0002]  <idle>                              0.262      0.000      0.006 
   12684.408345 [0006]  <idle>                              0.011      0.000      1.511 
   12684.408361 [0002]  budgie-wm[1560]                     0.006      0.005      0.282 
   12684.408410 [0001]  <idle>                              0.249      0.000      1.589 
   12684.408421 [0006]  budgie-wm:cs0[1567/1560]            0.000      0.006      0.075 
   12684.408422 [0002]  <idle>                              0.282      0.000      0.060 
   12684.408434 [0001]  gfx[850]                            0.000      0.007      0.024 
   12684.408447 [0000]  <idle>                              0.012      0.000      0.368 
   12684.408459 [0002]  budgie-wm[1560]                     0.060      0.007      0.036 
   12684.408512 [0003]  <idle>                              0.018      0.000      1.948 
   12684.408538 [0002]  <idle>                              0.036      0.000      0.079 
   12684.408541 [0000]  Xorg[1087]                          0.368      0.003      0.093 
   12684.408563 [0003]  kworker/u32:13-[17311]              1.948      0.013      0.051 
   12684.408581 [0000]  <idle>                              0.093      0.000      0.040 
   12684.408594 [0006]  <idle>                              0.075      0.000      0.172 
   12684.408595 [0000]  Xorg[1087]                          0.040      0.003      0.014 
   12684.408610 [0002]  budgie-wm[1560]                     0.079      0.004      0.071 
   12684.408812 [0002]  <idle>                              0.071      0.000      0.201 
   12684.408819 [0002]  rcu_preempt[15]                     0.000      0.006      0.007 
   12684.409037 [0001]  <idle>                              0.024      0.000      0.602 
   12684.409037 [0003]  <idle>                              0.051      0.000      0.474 
   12684.409042 [0001]  gfx[850]                            0.602      0.004      0.004 
   12684.409087 [0003]  kworker/u32:13-[17311]              0.474      0.006      0.049 
   12684.410019 [0000]  <idle>                              0.014      0.000      1.423 
   12684.410036 [0006]  tilix[2046]                         1.781      0.004      1.441 
   12684.410115 [0004]  <idle>                              0.000      0.000      3.824 
   12684.410120 [0000]  Xorg[1087]                          1.423      0.005      0.101 
   12684.410154 [0001]  <idle>                              0.004      0.000      1.112 
   12684.410158 [0000]  <idle>                              0.101      0.000      0.037 
   12684.410160 [0004]  Xorg:cs0[1091/1087]                 0.000      0.007      0.045 
   12684.410169 [0001]  gfx[850]                            1.112      0.005      0.015 
   12684.410246 [0004]  <idle>                              0.045      0.000      0.086 
   12684.410250 [0000]  Xorg[1087]                          0.037      0.003      0.092 
   12684.410264 [0001]  <idle>                              0.015      0.000      0.094 
   12684.410264 [0004]  Xorg:cs0[1091/1087]                 0.086      0.004      0.018 
   12684.410265 [0000]  <idle>                              0.092      0.000      0.015 
   12684.410280 [0001]  gfx[850]                            0.094      0.005      0.016 
   12684.410336 [0004]  <idle>                              0.018      0.000      0.072 
   12684.410340 [0000]  Xorg[1087]                          0.015      0.003      0.075 
   12684.410351 [0004]  Xorg:cs0[1091/1087]                 0.072      0.004      0.014 
   12684.410351 [0000]  <idle>                              0.075      0.000      0.011 
   12684.410412 [0004]  <idle>                              0.014      0.000      0.061 
   12684.410416 [0000]  Xorg[1087]                          0.011      0.003      0.064 
   12684.410426 [0004]  Xorg:cs0[1091/1087]                 0.061      0.003      0.013 
   12684.410426 [0000]  <idle>                              0.064      0.000      0.010 
   12684.410474 [0002]  <idle>                              0.007      0.000      1.654 
   12684.410529 [0002]  budgie-wm[1560]                     1.864      0.006      0.055 
   12684.410531 [0001]  <idle>                              0.016      0.000      0.250 
   12684.410544 [0001]  gfx[850]                            0.250      0.008      0.013 
   12684.410560 [0004]  <idle>                              0.013      0.000      0.134 
   12684.410567 [0000]  Xorg[1087]                          0.010      0.002      0.140 
   12684.410570 [0000]  <idle>                              0.140      0.000      0.003 
   12684.410576 [0000]  Xorg[1087]                          0.003      0.002      0.005 
   12684.410588 [0001]  <idle>                              0.013      0.000      0.043 
   12684.410592 [0000]  <idle>                              0.005      0.000      0.015 
   12684.410592 [0004]  Xorg:cs0[1091/1087]                 0.134      0.002      0.031 
   12684.410599 [0001]  gfx[850]                            0.043      0.003      0.010 
   12684.410604 [0002]  <idle>                              0.055      0.000      0.074 
   12684.410616 [0000]  Xorg[1087]                          0.015      0.002      0.024 
   12684.410652 [0001]  <idle>                              0.010      0.000      0.053 
   12684.410661 [0001]  gfx[850]                            0.053      0.003      0.008 
   12684.410671 [0000]  <idle>                              0.024      0.000      0.054 
   12684.410682 [0000]  Xorg[1087]                          0.054      0.003      0.010 
   12684.410695 [0002]  budgie-wm[1560]                     0.074      0.005      0.091 
   12684.410718 [0001]  <idle>                              0.008      0.000      0.057 
   12684.410722 [0001]  gfx[850]                            0.057      0.003      0.003 
   12684.411005 [0001]  <idle>                              0.003      0.000      0.282 
   12684.411007 [0001]  gfx[850]                            0.282      0.002      0.002 
   12684.412830 [0005]  conv[18451]                         0.000      0.005      6.251 
   12684.412886 [0005]  ksoftirqd/5[47]                     0.000      0.003      0.055 
   12684.416799 [0002]  <idle>                              0.091      0.000      6.103 
   12684.416809 [0002]  rcu_preempt[15]                     7.980      0.009      0.010 
   12684.422101 [0000]  <idle>                              0.010      0.000     11.418 
   12684.422125 [0000]  code[17682/17658]                   0.000      0.004      0.024 
   12684.422127 [0007]  <idle>                              0.000      0.000     15.330 
   12684.422204 [0000]  <idle>                              0.024      0.000      0.079 
   12684.422209 [0000]  code[17682/17658]                   0.079      0.004      0.005 
   12684.422213 [0007]  code[17658]                         0.000      0.007      0.086 
   12684.423203 [0000]  <idle>                              0.005      0.000      0.993 
   12684.423203 [0003]  <idle>                              0.049      0.000     14.116 
   12684.423221 [0003]  kworker/u32:13-[17311]             14.116      0.006      0.017 
   12684.423231 [0002]  <idle>                              0.010      0.000      6.421 
   12684.423239 [0000]  Xorg[1087]                         12.520      0.003      0.035 
   12684.423311 [0000]  <idle>                              0.035      0.000      0.072 
   12684.423326 [0002]  budgie-wm[1560]                    12.535      0.006      0.095 
   12684.423328 [0006]  <idle>                              1.441      0.000     13.292 
